[00:39:29.531] [info] [Node 0] starting on 127.0.0.1:50050
[00:39:32.614] [debug] [Node 0] [term=1] [Leader] commitIndex advanced to 3
[00:39:32.615] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=3
[00:39:32.620] [debug] [Node 0] [KvStore] applied Append key=greeting at index=3
[00:39:32.644] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=4
[00:39:32.644] [debug] [Node 0] [term=1] [Leader] commitIndex advanced to 4
[00:39:32.645] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=4
[00:39:32.650] [debug] [Node 0] [KvStore] applied Append key=greeting at index=4
[00:39:32.675] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=5
[00:39:32.675] [debug] [Node 0] [term=1] [Leader] commitIndex advanced to 5
[00:39:32.676] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=5
[00:39:32.680] [debug] [Node 0] [KvStore] applied Get key=demo_key at index=5
[00:39:32.705] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=6
[00:39:32.705] [debug] [Node 0] [term=1] [Leader] commitIndex advanced to 6
[00:39:32.705] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=6
[00:39:32.710] [debug] [Node 0] [KvStore] applied Get key=city at index=6
[00:39:32.735] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=7
[00:39:32.735] [debug] [Node 0] [term=1] [Leader] commitIndex advanced to 7
[00:39:32.735] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=7
[00:39:32.741] [debug] [Node 0] [KvStore] applied Get key=greeting at index=7
